Raman shift (cm-1),RP_AS,RP_HS_V2,RP_HS_V3,RP_HS_V4
1830.48445,74.84044158,28.54782667,4.651376358,19.03853
1833.440192,-5.636329876,27.84251333,3.644786215,21.99424
1836.392487,-6.745878855,31.44708667,7.942240102,44.61451
1839.341347,31.55849219,36.54309333,29.20480134,41.67193
1842.286784,51.90343886,45.38115333,40.63835703,33.29976
1845.22881,93.73874958,39.39648667,32.42753646,40.85916
1848.167439,70.84597029,26.58575,62.29802039,63.39728
1851.102682,45.67488911,44.28781667,63.97293918,91.32785
1854.034553,-8.368408104,21.63103333,6.840810424,23.92003
1856.963063,-14.27889453,7.337066667,15.44172625,46.6327
1859.888226,73.17103704,65.21182667,84.77496895,85.64109
1862.810053,81.45042671,33.27165667,94.07278773,98.44595
1865.728557,51.65581116,11.79558333,38.21892517,65.53863
1868.643751,11.26894786,57.13506333,-5.31202895,2.95421
1871.555648,-12.56076634,14.10946667,-15.92109355,-17.87603
1874.46426,2.164514995,-1.164843333,-10.74356764,-11.68502
1877.369599,6.20715945,17.72344333,17.34062305,85.37823
1880.271679,30.64932633,13.88988667,38.02332105,49.30864
1883.170512,26.07421881,13.73343333,19.8496874,9.86974
1886.06611,13.56342183,29.29814667,27.21513688,29.68621
1888.958487,3.456226497,55.80646333,32.31023046,17.77311
1891.847655,1.267681253,6.77605,-15.6358328,-4.05542
1894.733626,-3.578595532,-11.66038333,-10.38303576,24.17038
1897.616414,-10.49030475,34.53481,20.07405476,43.96884
1900.496032,15.83883049,32.57330333,2.985931632,25.23345
1903.372491,28.96702064,44.90104,3.363066511,4.86187
1906.245805,60.99071828,18.46047333,19.57020787,72.31592
1909.115987,64.05881365,5.648273333,30.44499233,103.1381
1911.983049,37.57315681,30.12629333,28.74913216,45.68754
1914.847004,28.23900949,28.81967,22.8908906,38.93133
1917.707866,-18.89785456,21.18856333,49.73242471,80.35523
1920.565646,-12.07652992,36.18616667,55.80897012,79.85092
1923.420359,14.4775869,42.40192,18.5312612,8.45194
1926.272016,8.565608755,14.79992667,-13.37463657,-13.32927
1929.120631,37.94395073,17.41933,-37.70327892,-24.89696
1931.966216,58.86623787,36.34543333,-15.64650531,-11.75224
1934.808786,49.43528977,1.473466667,41.69534295,35.51154
1937.648351,13.84978227,11.68698,41.79004476,24.54869
1940.484927,6.942243451,55.16861,32.7910797,6.08757
1943.318525,30.01461927,55.22550333,63.64645014,50.51079
1946.149158,71.80256097,57.90437333,87.5311363,60.97881
1948.97684,131.7326946,69.32721333,104.591231,85.04479
1951.801584,121.7381531,59.08735667,95.12433361,61.42367
1954.623403,36.81212967,40.39635667,47.28549459,58.04289
1957.44231,-3.462676538,16.72381333,0.430115123,-9.43118
1960.258318,-15.83991544,10.00038667,-9.148098791,-4.027
1963.071439,-21.80595822,27.16829333,34.33633957,35.56851
1965.881688,45.69918329,35.20249333,51.57893137,4.42893
1968.689078,122.3260854,30.45713667,13.73241203,9.47904
1971.493621,67.08158422,9.991083333,9.935385359,20.08497
